run,arm,problem_index,seed,_step,curve/batch_max_reward,curve/batch_mean_reward,train/self_distillation/rewards/reward_fn,curve/mean_reward,train/self_distillation/reward_mean,train/self_distillation/group_reward_std_mean,train/self_distillation/reward_min,train/self_distillation/reward_max,train/self_distillation/reward_std,curve/max_reward
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,7.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,8.0,1.0,1.0,,,,,,,,
teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,TF,64,1,9.0,1.0,1.0,,,,,,,,
discovery-Qwen3-4B-code-idx39-15step-hybrid-T1_minimal,SF,39,1,0.0,,,,0.33125,,,,,,1.0
discovery-Qwen3-4B-code-idx39-15step-hybrid-T1_minimal,SF,39,1,1.0,,,,0.08125,,,,,,0.175
discovery-Qwen3-4B-code-idx39-15step-hybrid-T1_minimal,SF,39,1,2.0,,,,0.08125,,,,,,0.175
discovery-Qwen3-4B-code-idx39-15step-hybrid-T1_minimal,SF,39,1,3.0,,,,0.38125,,,,,,1.0
discovery-Qwen3-4B-code-idx39-15step-hybrid-T1_minimal,SF,39,1,4.0,,,,0.55,,,,,,1.0
discovery-Qwen3-4B-code-idx39-15step-hybrid-T1_minimal,SF,39,1,5.0,,,,0.08125,,,,,,0.175
discovery-Qwen3-4B-code-idx39-15step-hybrid-T1_minimal,SF,39,1,6.0,,,,0.11249999999999999,,,,,,0.175
discovery-Qwen3-4B-code-idx39-15step-hybrid-T1_minimal,SF,39,1,7.0,,,,0.38125,,,,,,1.0
discovery-Qwen3-4B-code-idx39-15step-hybrid-T1_minimal,SF,39,1,8.0,,,,0.18125,,,,,,0.3
discovery-Qwen3-4B-code-idx39-15step-hybrid-T1_minimal,SF,39,1,9.0,,,,0.175,,,,,,0.3
discovery-Qwen3-4B-code-idx39-15step-hybrid-T1_minimal,SF,39,1,10.0,,,0.23562499284744262,,0.23562499284744262,0.2248869374394417,0.07750000022351741,0.5300000011920929,0.2248869374394417,
discovery-Qwen3-4B-code-idx39-15step-hybrid-T1_minimal,SF,39,1,11.0,,,,0.3,,,,,,1.0
